Equipo;Descripción;Barra;Celda;Fila;Resumen;Gabinete;FU1;FU2;FA1
NV13S101;CALDERA-SOPLADOR A VAPOR DEL C.A.R;3 CA;24;J;380V -3CA -24J;;;;Termica Bipolar C1
NV16S101;CALDERA-SOPLADOR A VAPOR DEL C.A.R;3 CA;24;K;380V -3CA -24K;HA13;;;Termica Bipolar C1
VG92S101;CALDERA-ENTRADA AGUA DE REFRIG. C.A.R A;3 CA;24;L;380V -3CA -24L;HA11;;;Termica Bipolar C0,5
VG92S102;CALDERA-SALIDA AGUA DE REFRIG. C.A.R A;3 CA;24;M;380V -3CA -24M;HA11;;;Termica Bipolar C0,5
NE21J001;CALDERA-;3 CA;24;R;380V -3CA -24R;HA16;;;Termica Bipolar C1
NA41J001;CALDERA-;3 CA;24;Q;380V -3CA -24Q;;;;Termica Bipolar C1
NV30M101;CALDERA- SOPLADOR DE CALDERA N°14;3 CA;26;A;380V -3CA -26A;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV29M101;CALDERA- SOPLADOR DE CALDERA N°13;3 CA;26;B;380V -3CA -26B;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV28M101;CALDERA- SOPLADOR DE CALDERA N°12;3 CA;26;C;380V -3CA -26C;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV27M101;CALDERA- SOPLADOR DE CALDERA N°11;3 CA;26;D;380V -3CA -26D;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV26M101;CALDERA- SOPLADOR DE CALDERA N°10;3 CA;26;E;380V -3CA -26E;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV25M101;CALDERA- SOPLADOR DE CALDERA N°9;3 CA;26;F;380V -3CA -26F;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV24M101;CALDERA- SOPLADOR DE CALDERA N°8;3 CA;26;G;380V -3CA -26G;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RL40S101;CICLO- DESCARGA PPAL DE BOMBA RL 11;3 CA;27;B;380V -3CA-27B;HA15;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RL40S102;CICLO- BY-PASS DESCARGA DE BOMBA RL 11;3 CA;27;C;380V -3CA-27C;;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RL41S101;CICLO- RECIRCULACION DE BOMBA RL 11;3 CA;27;D;380V -3CA-27D;HA15;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RL42S101;CICLO-AGUA PARA ATEMPERACION RECALENTADO;3 CA;27;E;380V -3CA-27E;HA15;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RL11W001;CICLO- CALENTAMIENTO MOTOR RL 11;3 CA;27;G;380V -3CA-27G;HA15;Diazed DII E27 - X2;Diazed DII E27 - X1;
RL11W002;CICLO- CALENTAMIENTO MOTOR RL 11;3 CA;27;H;380V -3CA-27H;;Diazed DII E27 - X3;Diazed DII E27 - X1;
VG55S101;CICLO- AGUA REFRIGERACION MOTOR DE RL 11;3 CA;27;J;380V -3CA-27J;HA15;;;ITM Antiguo - SEZ
VG50S101;CICLO- AGUA REFRIGERACION COJ RL 11;3 CA;27;K;380V -3CA-27K;HA15;;;ITM Antiguo - SEZ
RV20S101;CICLO- AGUA DE SELLO DE RL 11;3 CA;27;L;380V -3CA-27L;HA15;;;ITM Antiguo - SEZ
RM21W001;CICLO- CALENTAMIENTO MOTOR RM 21;3 CA;28;A;380V -3CA -28A;HA20;Diazed DII E27 - X2;Diazed DII E27 - X1;
RM31S101;CICLO- DESCARGA CONDENSADO BOMBA RM 21;3 CA;28;B;380V -3CA -28B;HA20;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RM02W001;CICLO- CALENTAMIENTO MOTOR RM 02;3 CA;28;D;380V -3CA -28D;HA20;Diazed DII E27 - X2;Diazed DII E27 - X1;
RM11S101;CICLO- DESCARGA CONDENSADO BOMBA RM 02;3 CA;28;E;380V -3CA -28E;HA20;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RM02S101;CICLO- SUCCION CONDENSADO BOMBA RM 02;3 CA;28;F;380V -3CA -28F;HA20;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RJ23S101;CICLO- ASPIRACION DE BOMBA RM 02;3 CA;28;H;380V -3CA -28H;HA20;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
VG22S101;CICLO- REFRIGERACION DE COJ. RM21;3 CA;28;J;380V -3CA -28J;HA20;;;ITM Antiguo - SEZ
VG26S101;CICLO- REFRIGERACION DE COJ RM 02;3 CA;28;K;380V -3CA -28K;HA20;;;ITM Antiguo - SEZ
SG51M101;CICLO- VENTILADOR ESCAPE DE SELLO N°2;3 CA;29;B;380V -3CA -29B;HA21;Secc. - NH000 - 80A;Termica Unipolar C4;Rele Termico - Elektropristroj
SG51S102;CICLO- ASPIRACION VENTILADOR N°2;3 CA;29;C;380V -3CA -29C;;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RM32S102;CICLO- SALIDA CONDENSADO A C.V.E;3 CA;29;D;380V -3CA -29D;HA21;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RM37S101;CICLO- SALIDA CONDENSADO  EYEC.V N°2;3 CA;29;F;380V -3CA -29F;HA20;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RM35S101;CICLO- ENTRADA CONDENSADO EYEC.V N°2;3 CA;29;G;380V -3CA -29G;HA20;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RN81S101;CICLO- DRENAJE CONDENSADO EYEC.V N°2;3 CA;29;H;380V -3CA -29H;HA21;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RJ12S101;CICLO- ASPIRACION AIRE  EYEC.V N°2;3 CA;29;J;380V -3CA -29J;HA21;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RQ03S101;CICLO- ENTRADA VAPOR A EYEC.V N°2;3 CA;29;K;380V -3CA -29K;HA21;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
UA93M101;CALDERA-REPOSICION AGUA DESMI N°2;3 CA;30;A;380V -3CA -30A;HA21;Secc. - NH000 - 35A;Termica Unipolar C4;Rele Termico - Elektropristroj
VN02M101;CICLO-EYECTOR ROTATIVO N°2;3 CA;30;C;380V -3CA -30C;HA23;Secc. - NH000 - 35A;Termica Unipolar C4;Rele Termico - Elektropristroj
SD11S101;TURBINA- CALENTAMIENTO CAMARAS ALTA P.;3 CA;30;F;380V -3CA -30F;HA18;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
SD30S201;TURBINA- CALENTAMIENTO BRIDAS CUERPO MEDIA P.;3 CA;30;G;380V -3CA -30G;HA18;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
SD30S101;TURBINA- CALENTAMIENTO BRIDAS CUERPO MEDIA P.;3 CA;30;H;380V -3CA -30H;HA18;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
VN13S101;CICLO- ENTRADA AGUA EYECTOR N°2;3 CA;30;K;380V -3CA -30K;HA23;;;ITM Antiguo - SEZ
VG31M101;CICLO- BOMBA AGUA N°2  REFRIG GENERADOR;3 CA;31;A;380V -3CA -31A;HA26;Secc. - PH1 - 125A;Termica Unipolar C16;Rele Termico - Elektropristroj
UD02M101;CALDERA- BOMBA DE LLENADO DE CALDERA;3 CA;31;B;380V -3CA -31B;;Secc. - PH1 - 125A;Termica Unipolar C4;Rele Termico - Elektropristroj
ST81W001;CALENTAMIENTO;3 CA;31;C;380V -3CA -31C;;Termica Bipolar C4;Termica Unipolar C4;
VG16M101;CICLO-BOMBA REPOSICION AL TQ ELEVADO;3 CA;31;D;380V -3CA -31D;HA26;Termica Tripolar C16;Termica Unipolar C16;Rele Termico - Elektropristroj
VG31S101;CICLO- DESCARGA  REFRIG. DEL GENERADOR;3 CA;31;E;380V -3CA -31E;HA26;Termica Tripolar C6;Termica Unipolar C16;Rele Termico - Elektropristroj
VN02S101;CICLO- ASPIRACION DE EYECTOR ROTATIVO N°2;3 CA;31;F;380V -3CA -31F;HA23;Termica Tripolar C4;Termica Unipolar C16;Rele Termico - Elektropristroj
VG16S101;CICLO- DESCARGA AGUA REPOSISION TQ ELEVADO;3 CA;31;G;380V -3CA -31G;HA26;;;ITM Antiguo - SEZ
VG02M101;CICLO- BOMBA N°2 SISTEMA SECUNDARIO;3 CA;32;A;380V -3CA -32A;HA26;Secc. - PH2 - 400A;Termica Unipolar C4;Rele Termico - Elektropristroj
VG02S101;CICLO- DESCARGA BOMBA N°2 SISTEMA SECUNDARIO;3 CA;32;B;380V -3CA -32B;HA26;Termica Tripolar C6;Termica Unipolar C4;Rele Termico - Elektropristroj
VC02W001;DARSENA- CALENTAMEINTO MOTOR VC02;3 CA;32;C;380V -3CA -32C;HA25;Termica Tripolar C4;Termica Unipolar C4;
SC02M101;TURBINA-BOMBA ACEITE ARRANQUE N°2;3 CA;33;A;380V -3CA -33A;HA18;Secc. - PH3 - 630A;Termica Unipolar C4;Rele Termico - Elektropristroj
SC02S101;TURBINA- DESC BOMBA ACEITE ARRANQUE N°2;3 CA;33;B;380V -3CA -33B;HA18;Termica Tripolar C6;Termica Unipolar;Rele Termico - Elektropristroj
AE12U901;ALIMENTACION;3 CA;36;A;380V -3CA -36A;;Fusible PH00 - 40A - X3;;ITM Antiguo - SEZ
3AT01U901;ALIMENTACION;3 CA;36;W;380V -3CA -36W;;Fusible PH00 - 100A - X3;;ITM Antiguo G - OEZ/ZSE PRAHA
380VRAT;ALIMENTACION AUXILIAR AL R.A.T;3 CA;37;A;380V -3CA -37A ;;Fusible PH00 - 32A - X3;;ITM Antiguo - SEZ
3BT01U901;ALMENTACION;3 CA;37;F;380V -3CA -37F;;;;ITM Antiguo - SEZ
3JD04;ALIMENTACION;3 CA;37;L;380V -3CA -37L;;;;ITM Antiguo - SEZ
3JD08;ALIMENTACION;3 CA;37;M;380V -3CA -37M;;;;ITM Antiguo - SEZ
HB38;ALIMENTACION;3 CA;37;N;380V -3CA -37N;;;;ITM Antiguo - SEZ
HB39;ALIMENTACION;3 CA;37;P;380V -3CA -37P;;;;ITM Antiguo - SEZ
ODA;ALIMENTACION;3 CA;37;R;380V -3CA -37R;;PH1 - 200A - X3;;ITM Antiguo G - OEZ/ZSE PRAHA
ODB;ALIMENTACION;3 CA;37;S;380V -3CA -37S;;NH1 - 200A - X3;;ITM Antiguo G - OEZ/ZSE PRAHA
ODC;ALIMENTACION;3 CA;37;T;380V -3CA -37T;;PH1 - 200A - X3;;ITM Antiguo G - OEZ/ZSE PRAHA
PF26S101;CALDERA- VENTEO ARRANQUE SISTEMA DE GAS ;3 CA;40;C;380V -3CA -40C;HA14;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RQ70S201;CALDERA- SISTEMA DE FUEL-OIL;3 CA;40;D;380V -3CA -40D;HA14;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV21S103;CALDERA- SOPLADORES DE CALDERA;3 CA;40;F;380V -3CA -40F;HA12;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV21S101;CALDERA- SOPLADORES DE CALDERA;3 CA;40;G;380V -3CA -40G;HA12;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
PF42H101;;3 CA;40;L;380V -3CA -40L;;;;ITM Antiguo - SEZ
RL52S102;CALDERA- ENTRADA ATEMPERADORES RECALENTADO;3 CA;41;A;380V -3CA -41A;HA17;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RL79S101;CALDERA-ANTERIOR ALIMENTACION CALD. 40%;3 CA;41;B;380V -3CA -41B;HA17;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RL79S102;CALDERA-POSTERIOR ALIMENTACION CALD 40%;3 CA;41;C;380V -3CA -41C;HA17;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RL79S201;CALDERA- REGULADORA ALIMENTACION CALDERA 40%;3 CA;41;D;380V -3CA -41D;;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NC01S101;CALDERA- PURGA DE FONDO EN DOMO;3 CA;41;E;380V -3CA -41E;HA16;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NC01S201;CALDERA- REGULADORA PURGA DE FONDO EN DOMO;3 CA;41;F;380V -3CA -41F;HA16;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RL70S101;CALDERA- ENTRADA AGUA PARA ATEMP. SOBRE.;3 CA;41;G;380V -3CA -41G;HA17;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NN70S101;CALDERA- PPAL ENTRADA DE GAS A CALDERA;3 CA;41;H;380V -3CA -41H;HA14;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV10S101;CALDERA- VENTEO ARRANQUE SISTEMA DE GAS ;3 CA;41;K;380V -3CA -41K;HA14;;;ITM Antiguo - SEZ
NV10S102;CALDERA- SOPLADORES DEL C.A.R;3 CA;41;L;380V -3CA -41L;HA14;;;ITM Antiguo - SEZ
NV10S104;CALDERA- SOPLADORES DEL C.A.R;3 CA;41;N;380V -3CA -41N;HA14;;;ITM Antiguo - SEZ
PE10M101;CALDERA;3 CA;42;A;380V -3CA -42A;HA14;;;
NW01W001;CALDERA- CALENTAMIENTO TQ ACEITE DE LOS C.A.R;3 CA;42;B;380V -3CA -42B;HA11;;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NG30S101;CALDERA- INTERCONEXION AIRE VTF A y B;3 CA;42;D;380V -3CA -42D;HA11;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
PE10S101;CALDERA;3 CA;42;E;380V -3CA -42E;HA14;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RQ55S101;CALDERA;3 CA;42;H;380V -3CA -42H;HA14;;;ITM Antiguo - SEZ
RQ70S101;CALDERA-  SISTEMA DE FUEL OIL;3 CA;42;J;380V -3CA -42J;HA14;;;ITM Antiguo - SEZ
NS20M101;CALDERA-VENTILADOR RECIR HUMOS LADO DERECHO;3 CA;43;A;380V -3CA -43A;HA21;Secc. - PH3 - 630A;Termica Unipolar (FU2-FU3-FU3);Rele Termico - Elektropristroj
NS20W001;CALDERA-CALENTAMIENTO DE MOTOR VRH B;3 CA;44;A;380V -3CA -44A;HA12;Diazed DII E27 - X2;Diazed DII E27 - X1;
NW30W001;CALDERA-CALENTAMIENTO DE ACEITE VRH B;3 CA;44;B;380V -3CA -44B;HA12;Diazed DII E27 - X2;Diazed DII E27 - X1;
NW30M102;CALDERA-VENTILADOR REFRIG ACEITE VRH B;3 CA;44;C;380V -3CA -44C;HA12;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NW30M101;CALDERA-BOMBA DE ACEITE DE VRH B;3 CA;44;D;380V -3CA -44D;HA12;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NG22S101;CALDERA- BY-PASS DE HUMOS VRH B;3 CA;44;G;380V -3CA -44G;HA12;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NS20S103;CALDERA-SALIDA DE HUMOS VRH B;3 CA;44;H;380V -3CA -44H;HA12;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NS20S102;CALDERA-SALIDA DE HUMOS VRH B;3 CA;44;J;380V -3CA -44J;HA12;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NS20S101;CALDERA-ENTRADA DE HUMOS VRH B;3 CA;44;K;380V -3CA -44K;HA12;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NG20S101;CALDERA-SALIDA PPAL DE AIRE DE V.T.F B;3 CA;46;A;380V -3CA -46A;HA11;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NG20W001;CALDERA-CALENTAMIENTO DE MOTOR VTF B;3 CA;46;B;380V -3CA -46B;HA11;Diazed DII E27 - X2;Diazed DII E27 - X1;
NR20S101;CALDERA-ENTRADA DE HUMOS AL C.A.R. B;3 CA;46;G;380V -3CA -46G;HA11;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NG20S104;CALDERA-SALIDA DE AIRE DE C.A.R B;3 CA;46;H;380V -3CA -46H;HA11;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NG21S101;CALDERA- BY-PASS DE AIRE DE  C.A.R B;3 CA;46;J;380V -3CA -46J;HA11;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NG20S102;CALDERA- ENTRADA DE AIRE AL C.A.R B;3 CA;46;K;380V -3CA -46K;HA11;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RL69S102;CALDERA- AGUA ALIMENT. CALDERA LADO DERECHO;3 CA;47;A;380V -3CA -47A;HA17;Secc. - NH000 - 25A;Termica Unipolar C4;Rele Termico - Elektropristroj
RL69S101;CALDERA- AGUA ALIMENT. CALDERA LADO DERECHO;3 CA;47;B;380V -3CA -47B;HA17;Secc. - NH000 - 25A;Termica Unipolar C4;Rele Termico - Elektropristroj
NX10S201;CALDERA-PURGA CONTINUA DE DOMO LADO DERECHO;3 CA;47;C;380V -3CA -47C;HA16;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL55S101;CALDERA-ATEMP. RECALENTADO LADO DERECHO;3 CA;47;D;380V -3CA -47D;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL56S101;CALDERA-ATEMP. RECALENTADO LADO DERECHO;3 CA;47;E;380V -3CA -47E;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL72S101;CALDERA-ATEMP.100% SOBRECALENTADO LADO DER.;3 CA;47;F;380V -3CA -47F;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL73S101;CALDERA-ATEMP.40% SOBRECALENTADO LADO DER.;3 CA;47;G;380V -3CA -47G;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL70S101;CALDERA-ATEMP.100% SOBRECALENTADO LADO DER.;3 CA;47;H;380V -3CA -47H;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL71S101;CALDERA-ATEMP.40% SOBRECALENTADO LADO DER.;3 CA;47;J;380V -3CA -47J;HA17;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RQ26S101;CALDERA-VAPOR PARA CALENTADOR DE AIRE;3 CA;47;K;380V -3CA -47K;HA12;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
RL81S101;CALDERA- AGUA ATEMP. ADICIONAL LADO DERECHO;3 CA;48;C;380V -3CA -48C;HA17;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV32M101;CALDERA-SOPLADOR DE CALDERA;3 CA;48;E;380V -3CA -48E;;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV01M102;CALDERA-SOPLADOR A VAPOR DEL C.A.R;3 CA;48;G;380V -3CA -48G;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV03M101;CALDERA-SOPLADOR A VAPOR DEL C.A.R;3 CA;48;H;380V -3CA -48H;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV12S101;CALDERA-SOPLADOR A VAPOR DEL C.A.R;3 CA;48;J;380V -3CA -48J;HA13;;;ITM Antiguo - SEZ
NV15S101;CALDERA-SOPLADOR A VAPOR DEL C.A.R;3 CA;48;K;380V -3CA -48K;HA13;;;ITM Antiguo - SEZ
VG94S101;CALDERA-ENTRADA AGUA DE REFRIG. C.A.R B;3 CA;48;L;380V -3CA -48L;HA11;;;ITM Antiguo - SEZ
VG94S102;CALDERA-SALIDA AGUA DE REFRIG. C.A.R B;3 CA;48;M;380V -3CA -48M;HA11;;;ITM Antiguo - SEZ
NE22J001;CALDERA-;3 CA;48;R;380V -3CA -48R;HA16;;;ITM Antiguo - SEZ
NV39M101;CALDERA- SOPLADOR DE CALDERA N°7;3 CA;50;A;380V -3CA -50A;HA12;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV38M101;CALDERA- SOPLADOR DE CALDERA N°6;3 CA;50;B;380V -3CA -50B;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV37M101;CALDERA- SOPLADOR DE CALDERA N°5;3 CA;50;C;380V -3CA -50C;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV36M101;CALDERA- SOPLADOR DE CALDERA N°4;3 CA;50;D;380V -3CA -50D;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV35M101;CALDERA- SOPLADOR DE CALDERA N°3;3 CA;50;E;380V -3CA -50E;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV34M101;CALDERA- SOPLADOR DE CALDERA N°2;3 CA;50;F;380V -3CA -50F;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
NV33M101;CALDERA- SOPLADOR DE CALDERA N°1;3 CA;50;G;380V -3CA -50G;HA13;Diazed DII E27 - X3;Diazed DII E27 - X1;Rele Termico - Elektropristroj
RA05M102;CICLO TERMICO - AVANCE RAPIDO BY-PASS DE ALTA;3 CC;1;B;380V - 3CC - 1B;HA18;Secc. - NH000 - 25A;Termica Unipolar C4;Rele Termico - Elektropristroj
SU20M101;SIST. DE HIDROGENO - BOMBA PRINCIPAL DE ACEITE;3 CC;1;C;380V - 3CC - 1C;;Secc. - NH000 - 25A;Termica Unipolar C4;Rele Termico - Elektropristroj
RJ14S101;TURBINA - VALVULA ROMPE VACIO;3 CC;1;D;380V - 3CC - 1D;HA18;Diazed DII E27 - X3;Termica Unipolar C4;Rele Termico - Elektropristroj
SU20M101;ELECTRICO- ALIMEN. AUXILIAR DESDE 3OCN03;3 CC;1;;VINCULACION CON 3OCN 03;;;;
ST60M101;SISTEMA DE HIDROGENO;3 CC;2;A;380V - 3CC - 2A;;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
ST12S101;SIST. DE HIDROGENO - VALVULA DE CARGA;3 CC;2;H;380V - 3CC - 2H;HA19;Termica Bipolar;;
ST44S101;SIST. DE HIDROGENO - VALVULA DE EVACUACION;3 CC;2;J;380V - 3CC - 2J;HA19;Termica Bipolar;;
SC34H101;TURBINA - ACOPLE DE VIRADOR;3 CC;2;L;380V - 3CC - 2L;HA18;Termica Bipolar;;
SC24M101;TURBINA - BOMBA DE ELEVACION;3 CC;3;A;380V - 3CC - 3A;HA18;Secc. - PH1 - 160A;Termica Unipolar C4;
SC14M101;TURBINA - BOMBA AUXILIAR DE C.A.;3 CC;3;C;380V - 3CC - 3C;HA18;Secc. - NH000 - 25A;Termica Unipolar C4;
SM10M101;TURBINA - MOTOR DE VIRADOR;3 CC;3;D;380V - 3CC - 3D;HA18;Secc. - NH000 - 25A;Termica Unipolar C4;
DIESELCAT;ALIMENTACION 380V GRUPO DIESEL CAT;3 CC;3;;380V -3CC;;Secc. - NH000 - 25A;;Termica Tripolar 63A
SC24M101;ELECTRICO- ALIMEN. AUXILIAR DESDE 3OCN03;3 CC;3;;VINCULACION CON 3OCN 03;HA18;;;
3EN10;ELECTRICO-ALIM.CARGADOR BATERIA 220V C.C;3 CC;4;A;380V - 3CC - 4A;;Secc. - NH000 - 63A;;ITM Antiguo G - OEZ/ZSE PRAHA
3EP10;ELECTRICO- ALIM. RECTIFICADOR 24V C.C;3 CC;4;B;380V - 3CC - 4B;;Secc. - NH000 - 35A;;
3EP20;ELECTRICO- ALIM. RECTIFICADOR 24V C.C;3 CC;4;C;380V - 3CC - 4C;;Secc. - NH000 - 63A;;
3EP30;ELECTRICO- ALIM. RECTIFICADOR 24V C.C;3 CC;4;D;380V - 3CC - 4D;;Secc. - NH000 - 50A;;Interruptor Nuevo Merlin Gerin
BDZ01;;3 CC;4;E;380V - 3CC - 4E;;Secc. - PH1 - 200A;;ITM Antiguo G - OEZ/ZSE PRAHA
3EN01;ELECTRICO-ALIM.CARGADOR BATERIA 220V C.C;3 CC;4;F;380V - 3CC - 4F;;Secc. - PH1 - 200A;;ITM Antiguo G - OEZ/ZSE PRAHA
AE11;ALIMENTACION TABLERO COMPRESOR AE11 ;3 CC;4;G;380V - 3CC - 4G;;Secc. - PH1 - 200A;;ITM Antiguo G - OEZ/ZSE PRAHA
GJ600;;3 CC;8;A;380V - 3CC - 8A;;Termica Tripolar C6;;
3CC08J001;;3 CC;8;D;380V - 3CC - 8D;;Termica Tripolar C6;;
3-OEZ01;;3 CC;8;K;380V - 3CC - 8K;;Termica Bipolar C16;;
3-OEZ02;;3 CC;8;L;380V - 3CC - 8L;;Termica Bipolar C16;;
3JT01-02;;3 CC;8;M;380V - 3CC - 8M;;Termica Bipolar C10;;
3OJT11;;3 CC;8;N;380V - 3CC - 8N;;Termica Bipolar C6;;
3JT11;;3 CC;8;P;380V - 3CC - 8P;;Termica Bipolar C6;;
3JT15;;3 CC;8;Q;380V - 3CC - 8Q;;Termica Bipolar C6;;
3JT21;;3 CC;8;R;380V - 3CC - 8R;;Termica Bipolar C6;;
3HK21;;3 CC;8;S;380V - 3CC - 8S;;Termica Bipolar C6;;
3CC00J001;;3 CC;8;T;380V - 3CC - 8T;;Termica Bipolar C6;;
CECCATOC;ALIMENTACION COMPRESOR CECCATO C;3 CC;8;U;380V - 3CC - 8U;;Secc. - NH000 - 100A;;
NH10M101;"CALENTADOR DE AIRE REGENERATIVO ""A"" (CAR)";3 CC;9;A;380V - 3CC - 9A;HA11;Secc. - NH000 - 50A;Termica Unipolar C4;Rele Termico - Elektropristroj
NK30M101;CALDERA-VENTILADOR REFRIG. QUEMADORES;3 CC;9;B;380V - 3CC- 9B;HA14;Secc. - NH000 - 35A;Termica Unipolar C4;Rele Termico - Elektropristroj
RL02M102;CICLO TERMICO- PRELUBRICACION DE RL 02;3 CC;9;C;380V - 3CC - 9C;HA16;Secc. - NH000 - 35A;Termica Unipolar C6;Rele Termico - Elektropristroj
NW01M101;BOMBA N° 1 ACEITE DE LUBRICACION C.A.R;3 CC;9;D;380V - 3CC - 9D;HA11;Diazed DII E27 - X3;Termica Unipolar C16;Rele Termico - Elektropristroj
POLIMEROS;ALIMENTACION A DOSIFICADORES POLIMEROS;3 CC;9;K;380V - 3CC - 9K;;;;ITM Antiguo - SEZ
3EA02;;3 CC;9;M;380V - 3CC - 9M;;;;ITM Antiguo - SEZ
3EB06;;3 CC;9;M;380V - 3CC - 9M;;;;ITM Antiguo - SEZ
3OJT01;;3 CC;9;N;380V - 3CC - 9N;;;;ITM Antiguo - SEZ
