Equipo;Descripción;Barra;Celda;Fila;Resumen;Gabinete;FU1;FU2;FA1
VG15M101;CICLO-BOMBA REPOSICION AL TQ ELEVADO;3 CA;6;D;380V -3CA -6D;HA26;Termica Tripolar C4;Termica Unipolar C16;Rele Termico - Elektropristroj
VG30S101;CICLO- DESCARGA  REFRIG. DEL GENERADOR;3 CA;6;E;380V -3CA -6E;HA26;Termica Tripolar C6;;
VN01S101;CICLO- ASPIRACION DE EYECTOR ROTATIVO N°1;3 CA;6;F;380V -3CA -6F;HA23;Termica Tripolar C6;;
VG15S101;CICLO- DESCARGA AGUA REPOSISION TQ ELEVADO;3 CA;6;G;380V -3CA -6G;HA26;;;ITM Antiguo - SEZ
VG01M101;CICLO- BOMBA N°1 SISTEMA SECUNDARIO;3 CA;7;A;380V -3CA -7A;HA26;Secc. - PH2 - 350A;Termica Unipolar C16;
VG01S101;CICLO- DESCARGA BOMBA N°1 SISTEMA SECUNDARIO;3 CA;7;B;380V -3CA -7B;HA26;Termica Tripolar C6;Termica Unipolar C4;
VC01W001;DARSENA- CALENTAMEINTO MOTOR VC01;3 CA;7;C;380V -3CA -7C;HA25;Termica Bipolar C4;Termica Unipolar C4;
SC01M101;TURBINA-BOMBA ACEITE ARRANQUE N°1;3 CA;8;A;380V -3CA -8A;HA18;Secc. - PH3 - 630A;Diazed DII E27 - X3;
SC01S101;TURBINA- DESC BOMBA ACEITE ARRANQUE N°1;3 CA;8;B;380V -3CA -8B;HA18;Termica Tripolar C6;Termica Unipolar C4;
UH10M101;PLANTA DE PULIDO- BOMBA DE DOSIFICACION;3 CA;9;A;380V -3CA -9A;;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
UH20M101;;3 CA;9;B;380V -3CA -9B;;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
UH30M101;;3 CA;9;C;380V -3CA -9C;;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
RM80S101;CICLO-VALVULA RECIRCULACION CONDENSADOR;3 CA;9;D;380V -3CA -9D;HA21;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
;CICLO TERMICO- CONDENSADO DEL C.B.P. 3 AL 2;3 CA;9;E;380V -3CA -9E;;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
;CICLO TERMICO- CONDENSADO DEL C.B.P. 4 AL 3;3 CA;9;F;380V -3CA -9F;;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
;CICLO TERMICO- ATEMP DEL CALENT TUBERIA M.P.;3 CA;9;G;380V -3CA -9G;;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
;CICLO- EXTRACTOR DE VAHOS DE BOMBA DE A.;3 CA;9;H;380V -3CA -9H;;Diazed DII E27 - X3;Termica Tripolar C10;Rele Termico - Elektropristroj
;CICLO- REPOSICION AGUA A PILETA DEL SECUN.;3 CA;9;J;380V -3CA -9J;;;;Termica Bipolar
;CICLO- DESGASIFICACION A LA ATM DE LOS C.A.P.;3 CA;9;K;380V -3CA -9K;;;;Termica Bipolar
RS23S101;CICLO- ATEMP VAPOR SELLO AL CONDENSADOR;3 CA;10;A;380V -3CA -10A;HA19;Diazed DII E27 - X3;Termica Unipolar;Rele Termico - Elektropristroj
